State,District,Taluka/Tehsil,Latitude,Longitude
None,None,'N' Thingdawl,24.072322709867436,92.73386525810439
None,None,A.Konduru,16.971145111542523,80.65653905158577
None,None,AJJAMPURA,13.749393819517598,76.04340269518809
None,None,ALNAVAR,15.44261708518266,74.80237685038806
None,None,ANNIGERI,15.468346583994375,75.42734399924379
None,None,Aali,20.659817656102184,86.59991622354791
None,None,Aalo Hq,28.202990058964566,94.76469243097029
None,None,Abapura,23.407520895257008,74.50939739980886
None,None,Abdasa,23.236865635526776,68.89947788669292
None,None,Abdullapurmet,17.30005457455371,78.66626684267307
None,None,Abhanpur,21.061338799653345,81.77328023255137
None,None,Abhyachandpur,20.221558167539115,86.55982376021844
None,None,Abohar,30.07476877146253,74.18260447467044
None,None,Aboi,26.58314900306947,94.96047441257359
None,None,Abu Road,24.491716334637356,72.80069460647576
None,None,Achalpur,21.229848805563016,77.46890958588368
None,None,Achampet,16.456582172651217,78.79117866016763
None,None,Achanta,16.595916847446386,81.81946492139694
None,None,Adajan,21.267230026659966,72.84805509770781
None,None,Adampur,29.281425956778794,75.48929056562926
None,None,Adapur,26.908557820297194,84.92039239708292
None,None,Adava,19.486225566763448,84.0882389139964
None,None,Adavidevulapalli,16.67529924006454,79.50653055297379
None,None,Adda Guduru,17.414181961370655,79.3543043640131
None,None,Addakal,16.567101134696234,77.94980469426991
None,None,Addanki,15.824160439708875,79.95634917171864
None,None,Addateegala,17.480772249480808,82.06144683708797
None,None,Adhartal,23.226558082574517,79.96150016887063
None,None,Adhaura,24.719276105191135,83.61603984774905
None,None,Adibadri,30.15570841699385,79.18615373334481
None,None,Adilabad Urban,19.681827497929817,78.52831318686685
None,None,Adityapur(Gamharia),22.775670089914392,86.08190034401962
None,None,Adoni,15.622117818599317,77.24017703613343
None,None,Adoor,9.15322464842672,76.73676654949067
None,None,Afzalpur,17.247378448048057,76.40323587910201
None,None,Agali,13.798991322056988,77.03925037107373
None,None,Agamoni,26.22144362075,89.7848577096445
None,None,Agar,23.672865535413735,76.05257917600233
None,None,Agarpada,21.177269678266278,86.39100367243229
None,None,Agastheeswaram,8.14494762183063,77.46713284621092
None,None,Agatti,10.910318456360333,72.19704791242336
None,None,Aghunato,25.944877447065732,94.57863698255287
None,None,Agiaon,25.349564737935566,84.63066821744832
None,None,Agiripalle,16.688171540803435,80.78443067549836
None,None,Agra,27.149536066692725,78.02215514749186
None,None,Aheri,19.267464077991182,80.14211224068072
None,None,Ahmadpur,18.701106296336725,76.91505160507982
None,None,Ahmedgarh,30.607156510619028,75.7933455807045
None,None,Ahore,25.49711825061011,72.82803603668283
None,None,Ahwa,20.73791824795021,73.7408857469617
None,None,Aibawk,23.458894832843214,92.7222778097585
None,None,Aidilabad Rural,19.638517409697315,78.60465086913523
None,None,Ainavilli,16.65258965297866,82.01995383246938
None,None,Ainthapali,21.504910538403596,83.99261316046059
None,None,Airfield (Kapila Prasad),20.18504766320936,85.7910844193476
None,None,Aitepyong,26.341230102779253,94.28531538485561
None,None,Ajaigarh,24.93376999465438,80.27625880279358
None,None,Ajas,34.42737353543218,74.64800516050721
None,None,Ajitmal,26.583033724803258,79.32768049701619
None,None,Ajmer,26.478315359023508,74.67304709381133
None,None,Ajnala,31.809890461235895,74.74317823133464
None,None,Ajra,16.12437876156478,74.19237937599851
None,None,Akaltara,22.024426998729062,82.42344700181306
None,None,Akbarpur,24.79018163655373,85.54821918822668
None,None,Akbarpur,26.389278395912207,80.00699649513398
None,None,Akbarpur,26.414163399390624,82.53239199770032
None,None,Akhnoor,32.952168066826665,74.7011175256112
None,None,Akividu,16.620683327879192,81.3753504205505
None,None,Akkalkot,17.49941330058423,76.19277924880244
None,None,Akkalkuwa,21.69496818152628,73.9586075343131
None,None,Akkannapet,18.037639038119128,79.20202363362687
None,None,Aklera,24.33082373330538,76.52176487982939
None,None,Akola,20.732010144792433,77.09191283334998
None,None,Akola,19.515539567472178,73.90308930851613
None,None,Akorhi Gola,24.984067034567616,84.19889431989964
None,None,Akot,21.056123060302625,77.05845900983363
None,None,Akrani,21.836716075273088,74.28425409393014
None,None,Akuhaito,26.089656063940964,94.42710630505844
None,None,Akuluto,26.194795319246168,94.47406228025962
None,None,Alair,17.65135526535189,79.07827670820534
None,None,Alamnagar,25.546542273707765,86.88530993941453
None,None,Alampur,31.871242071190924,76.49237161850574
None,None,Alampur,15.91669569531574,78.1244412700429
None,None,Alamuru,16.808138594688693,81.87624128977812
None,None,Aland,17.532108511951364,76.56738941895365
None,None,Alangudi,10.333709290815376,78.98927057257531
None,None,Alangulam,8.86766587381669,77.4968037318419
None,None,Alathur,10.626228711462522,76.52761976818682
None,None,Alathur,11.131840507023021,78.88805943042091
None,None,Alauli,25.62853235737973,86.3980430390302
None,None,Albert Ekka(Jari),23.038735075709873,84.21638018639469
None,None,Alewa,29.480845748126292,76.39232685870115
None,None,Algapur,24.786766124673953,92.60685494814697
None,None,Alibag,18.65299172456774,72.96233453769885
None,None,Aliganj,27.48507304734112,79.09555601718428
None,None,Alinagar,26.078227714550877,86.22470865918673
None,None,Alipur,28.79624509015917,77.15840715742023
None,None,Alipurduar - I,26.55547567228873,89.38756779477995
None,None,Alipurduar - Ii,26.523779440715764,89.5878702423283
None,None,Alirajpur,22.29189280012174,74.4158162410393
None,None,Alladurg,17.95548424648277,77.94812720229397
None,None,Allagadda,15.119518133173747,78.56784615705878
None,None,Allahabad,25.444317948241547,81.7671006241285
None,None,Allapalli,17.914490986719738,80.50459587934175
None,None,Allapur,26.413157132397995,82.95223804353466
None,None,Allavaram,16.479690385097733,82.00165552662902
None,None,Allur,14.687672198419477,80.0528285300818
None,None,Almora,29.638772364473862,79.63870880733168
None,None,Alongkima,26.58157612712719,94.54675711666131
None,None,Aloosa,34.51423846079642,74.512322074751
None,None,Alot,23.77874326671062,75.52512721449483
None,None,Alur,15.392067126119503,77.26662536106454
None,None,Alur,12.915058417402845,75.95980669635648
None,None,Aluva,10.205069252210901,76.47800800614111
None,None,Alwal,17.53521927023021,78.51491694758293
None,None,Alwar,27.58196273523896,76.58483923005907
None,None,Amadagur,13.933082844764385,78.05604958998101
None,None,Amadalavalasa,18.396395412095114,83.88419176732914
